"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","2","1","2.906940","0","11"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","91","1","1","99.243256","0","539"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","68","3","1","250.520432","0","524"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","17","1","75.350761","0","797"
"Globals","49","5537","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","4","4","1","2.234313","0","4"
"","49","64","0","1","0.000000","65","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","6","2","1","2.683859","0","17"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","17","2","1","12.236054","0","85"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","3","1","1","2.273264","0","8"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","3","1","1","2.202557","0","8"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","6","1","1","3.220624","0","20"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","5","2","1","3.354748","0","17"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","4","1","1","2.453294","0","13"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","28","2","1","16.309687","0","416"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","7","1","1","3.520976","0","34"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","59","3","1","39.643627","0","1594"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","97","1","1","59.792145","0","4105"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","59","1","1","43.548904","0","1399"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","10","3","1","5.240685","0","59"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","3","3","1","1.921836","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","26","2","1","17.430603","0","281"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","14","4","1","9.109672","0","51"
"/Engine/VREditor/TransformGizmo/Main.Main","49","3","3","1","1.881172","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","43","7","1","22.006981","0","558"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","3","1","1","1.868523","0","8"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","49","35","4","1","23.774546","0","544"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","50","1","1","46.345169","0","1061"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","50","1","1","60.549248","0","1067"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","50","1","1","59.885834","0","1099"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","28","1","1","22.059055","0","376"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","5","1","1","3.665776","0","19"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","7","1","1","4.883817","0","34"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","44","2","2","27.488678","0","580"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","4","1","1","2.406551","0","13"
"/ControlRig/M_Manip.M_Manip","49","7","1","1","4.129646","0","34"
